kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
27,12,49,0,0,0,1,100
20,26,31,0,0,0,0,100
21,40,39,0,0,0,0,100
16,34,27,0,0,0,0,100
23,42,41,0,0,0,0,100
27,42,45,0,0,0,0,100
30,11,45,0,0,0,1,100
20,30,27,0,0,0,0,100
21,40,35,0,0,0,0,100
17,32,18,0,0,0,0,100
27,8,45,0,0,0,1,100
33,25,76,0,0,0,1,100
24,16,42,0,0,0,1,100
53,53,112,0,0,0,1,100
26,37,56,0,0,0,0,100
20,39,31,0,0,0,0,100
22,14,32,0,0,0,1,100
15,26,23,0,0,0,0,100
8,19,10,0,0,0,0,100
22,10,37,0,0,0,1,100
28,18,56,0,0,0,1,100
23,27,34,0,0,0,0,100
17,23,31,0,0,0,0,100
11,25,8,0,0,0,0,100
38,40,59,0,0,0,1,100
36,24,92,0,0,0,1,100
33,36,68,0,0,0,0,100
15,47,22,0,0,0,0,100
30,24,41,0,0,0,1,100
2,5,0,0,0,0,0,100
23,15,56,0,0,0,1,100
31,30,64,0,0,0,1,100
26,33,38,0,0,0,0,100
17,35,20,0,0,0,0,100
16,32,24,0,0,0,0,100
8,24,6,0,0,0,0,100
20,33,28,0,0,0,0,100
31,12,51,0,0,0,1,100
13,27,28,0,0,0,0,100
24,44,38,0,0,0,0,100
22,56,21,0,0,0,0,100
20,38,26,0,0,0,0,100
26,37,56,0,0,0,0,100
39,20,45,0,0,0,1,100
16,31,23,0,0,0,0,100
28,20,63,0,0,0,1,100
31,36,49,0,0,0,0,100
20,28,29,0,0,0,0,100
33,22,77,0,0,0,1,100
7,28,14,0,0,0,0,100
6,11,8,0,0,0,0,100
27,30,43,0,0,0,0,100
35,8,44,0,0,0,1,100
48,57,80,0,0,0,0,100
27,32,46,0,0,0,0,100
29,34,49,0,0,0,0,100
9,26,14,0,0,0,0,100
27,13,42,0,0,0,1,100
35,20,76,0,0,0,1,100
29,10,41,0,0,0,1,100
22,40,32,0,0,0,0,100
23,14,39,0,0,0,1,100
16,10,28,0,0,0,1,100
7,18,9,0,0,0,0,100
28,9,42,0,0,0,1,100
