blueteamwin,bluecreepsPerMin,bluegoldPerMinDeltas,bluexpPerMin,bluecsDiffPerMin,bluexpDiffPerMin,redteamwin,redcreepsPerMin,redgoldPerMin,redxpPerMin,redcsDiffPerMin,redxpDiffPerMin
1.00,5.90,298.60,354.50,0.00,0.00,0.00,6.60,386.20,422.50,0.00,0.00
1.00,2.40,444.50,468.70,2.40,85.40,0.00,6.30,307.60,315.30,0.00,0.00
1.00,1.20,281.00,222.00,0.00,0.00,0.00,1.60,317.20,299.90,0.00,0.00
1.00,8.00,363.60,509.50,2.20,112.90,0.00,5.80,262.20,396.60,-2.20,-112.90
1.00,0.60,381.10,368.90,0.60,23.90,0.00,6.70,263.50,401.90,-1.30,-99.40
1.00,8.00,398.30,501.30,1.30,99.40,0.00,1.30,227.70,283.80,1.15,86.50
1.00,6.80,254.90,323.90,-1.15,-86.50,0.00,8.20,281.70,405.00,1.15,86.50
1.00,0.40,169.80,191.90,-1.15,-86.50,0.00,0.00,297.70,345.00,-0.60,-23.90
0.00,0.20,264.80,314.60,-0.80,-63.94,1.00,8.30,360.90,491.40,0.80,63.94
0.00,1.20,173.20,217.70,-0.80,-63.94,1.00,5.80,341.10,453.50,0.80,63.94
0.00,6.30,227.90,394.30,-0.80,-63.94,1.00,0.40,314.90,375.20,0.80,63.94
0.00,6.80,247.00,392.00,-0.80,-63.94,1.00,1.10,247.00,292.30,0.80,63.94
0.00,5.60,310.70,309.70,-0.80,-63.94,1.00,8.50,362.50,335.60,0.80,63.94
0.00,8.40,290.00,468.10,0.10,36.90,1.00,8.30,274.70,431.20,-0.10,-36.90
0.00,1.10,222.50,242.20,-1.30,-16.45,1.00,6.10,252.10,423.30,-1.70,-29.10
0.00,6.40,390.10,348.80,-1.30,-16.45,1.00,0.40,260.90,278.30,0.00,-95.60
0.00,0.40,347.10,373.90,0.00,95.60,1.00,1.40,251.60,245.40,1.30,16.45
0.00,7.80,352.30,452.40,1.70,29.10,1.00,8.70,452.70,378.50,1.30,16.45
0.00,6.70,306.10,418.00,0.00,0.00,1.00,6.10,316.10,394.60,0.00,0.00
0.00,0.30,330.70,295.20,0.10,-14.50,1.00,8.10,349.20,359.00,-0.15,8.80
0.00,1.40,247.00,285.80,0.15,-8.80,1.00,1.20,223.10,303.10,-0.15,8.80
0.00,7.50,306.50,404.40,0.00,0.00,1.00,6.70,272.80,426.60,0.00,0.00
0.00,8.20,318.10,358.70,0.15,-8.80,1.00,0.20,304.20,309.70,-0.10,14.50
0.00,7.70,272.40,406.60,0.60,-99.10,1.00,0.30,339.40,369.50,0.00,0.00
0.00,5.50,216.80,369.10,0.00,0.00,1.00,6.30,455.50,430.00,0.00,0.00
0.00,0.40,212.30,282.90,0.00,0.00,1.00,7.10,324.10,505.70,-0.60,99.10
0.00,1.30,149.80,259.10,0.05,-21.65,1.00,9.10,347.70,355.00,-0.05,21.65
0.00,8.00,278.60,296.10,0.05,-21.65,1.00,0.10,203.90,243.50,-0.05,21.65
1.00,5.00,260.60,370.10,0.00,0.00,0.00,8.30,366.80,334.40,0.00,0.00
1.00,1.00,156.60,266.20,0.00,0.00,0.00,6.70,365.30,468.90,0.00,0.00
1.00,7.20,252.80,302.90,0.00,0.00,0.00,0.10,206.50,283.00,0.00,0.00
1.00,0.10,444.10,438.40,-0.70,98.00,0.00,0.80,401.30,340.40,0.70,-98.00
1.00,8.10,316.80,541.10,1.50,117.70,0.00,6.60,254.60,423.40,-1.50,-117.70
1.00,9.30,403.80,533.60,2.80,133.30,0.00,6.50,277.70,400.30,-2.80,-133.30
1.00,5.10,255.90,268.90,-1.85,-99.90,0.00,0.50,327.70,304.60,-0.40,-75.00
1.00,8.10,364.80,496.70,0.00,3.50,0.00,8.10,331.90,493.20,0.00,-3.50
1.00,1.70,238.10,230.70,-1.85,-99.90,0.00,2.60,271.30,328.80,1.85,99.90
1.00,0.90,278.00,379.60,0.40,75.00,0.00,7.90,469.00,370.60,1.85,99.90
1.00,7.30,377.20,466.80,0.00,0.00,0.00,7.80,279.90,443.20,0.00,0.00
1.00,6.70,439.30,350.00,0.00,0.00,0.00,1.30,194.60,210.00,0.00,0.00
1.00,1.30,283.70,285.60,0.00,0.00,0.00,5.60,268.50,276.80,0.00,0.00
1.00,0.40,312.80,321.10,0.00,0.00,0.00,0.30,260.50,274.90,0.00,0.00
1.00,5.70,360.90,410.50,0.00,0.00,0.00,7.60,277.30,424.10,0.00,0.00
1.00,6.50,312.30,330.20,-0.10,37.64,0.00,7.20,318.30,431.00,0.10,-37.64
1.00,1.20,369.30,344.40,-0.10,37.64,0.00,0.40,314.90,375.00,0.10,-37.64
1.00,1.30,271.30,308.40,-0.10,37.64,0.00,6.40,267.60,292.60,0.10,-37.64
1.00,6.80,345.10,492.60,-0.10,37.64,0.00,7.30,244.40,426.60,0.10,-37.64
1.00,7.30,394.70,477.80,-0.10,37.64,0.00,2.30,174.70,240.00,0.10,-37.64
1.00,0.60,385.00,402.40,0.00,0.00,0.00,0.20,231.90,287.20,0.55,48.50
1.00,7.00,261.70,411.30,0.80,7.70,0.00,6.00,247.80,471.80,0.00,0.00
1.00,1.30,192.80,219.90,-0.55,-48.50,0.00,0.50,307.90,277.50,0.00,0.00
1.00,6.70,327.40,321.70,-0.55,-48.50,0.00,6.20,224.20,403.60,-0.80,-7.70
1.00,7.30,240.30,413.50,0.00,0.00,0.00,8.90,321.70,351.40,0.55,48.50
0.00,7.80,299.70,291.70,-0.15,-19.60,1.00,4.50,198.50,343.30,-1.80,-125.90
0.00,0.90,144.70,250.00,-0.15,-19.60,1.00,0.00,260.10,276.60,-0.70,-69.30
0.00,6.10,325.50,465.20,-3.10,-65.60,1.00,9.20,347.00,530.80,3.10,65.60
0.00,6.30,316.60,469.20,1.80,125.90,1.00,7.70,277.20,327.50,0.15,19.60
0.00,0.70,298.90,345.90,0.70,69.30,1.00,1.30,158.90,253.40,0.15,19.60
0.00,4.90,244.10,244.40,-1.90,-44.25,1.00,0.00,287.30,323.20,-1.00,-113.10
0.00,1.30,174.40,228.30,-1.90,-44.25,1.00,8.90,337.10,284.50,1.90,44.25
0.00,8.60,380.80,508.20,2.30,85.00,1.00,1.10,213.70,276.70,1.90,44.25
0.00,1.00,349.40,436.30,1.00,113.10,1.00,6.30,328.90,423.20,-2.30,-85.00
0.00,6.20,345.60,398.70,-0.30,10.60,1.00,6.50,300.00,388.10,0.30,-10.60
0.00,7.80,288.60,470.00,-0.44,-78.14,1.00,7.20,402.80,320.40,0.44,78.14
0.00,0.20,166.60,99.30,-0.44,-78.14,1.00,1.20,385.00,408.60,0.44,78.14
0.00,2.60,203.60,178.40,-0.44,-78.14,1.00,7.60,385.40,468.60,0.44,78.14
0.00,8.60,301.20,450.20,-0.44,-78.14,1.00,6.00,247.90,389.60,0.44,78.14
0.00,1.00,229.60,253.90,-0.44,-78.14,1.00,0.40,361.90,255.30,0.44,78.14
0.00,6.30,243.80,385.10,-0.68,-42.08,1.00,8.00,344.60,339.10,0.68,42.08
0.00,0.00,409.30,289.20,-0.68,-42.08,1.00,7.10,325.50,408.70,0.68,42.08
0.00,8.40,328.00,350.10,-0.68,-42.08,1.00,0.20,276.00,275.90,0.68,42.08
0.00,0.10,180.10,177.10,-0.68,-42.08,1.00,7.70,479.90,503.20,0.68,42.08
0.00,5.80,262.00,365.20,-0.68,-42.08,1.00,1.00,176.30,250.20,0.68,42.08
1.00,6.90,430.60,452.60,0.00,0.00,0.00,0.50,211.00,297.10,0.00,0.00
1.00,1.00,354.90,376.70,-0.90,-87.90,0.00,6.70,334.90,304.90,0.00,0.00
