teamid,win,csPerMin,goldPerMin,xpPerMin,csDiffPerMin,xpDiffperMin,,
100,1,4.82,261.54,346.62,0.04,-40.36,,
100,0,4.56,329.56,336.82,-0.04,-8.6,,
100,1,4,333.88,366.24,-0.06,-1.52,,
100,1,4.4,249.46,351.6,-0.24,23.88,,
100,0,4.44,332.98,364.42,0,-45.26,,
100,1,5.08,261.74,370.52,0.9,21.52,,
100,1,4.8,298.78,356.16,-0.14,-32.08,,
100,0,4.7,304.86,376.76,0,0,,
100,1,4.06,266.6,326.58,-0.34,-17.94,,
100,0,4.68,261.46,351.7,0.14,3.78,,
100,1,2.3,549.42,762.98,0,0,,
100,0,2.08,529.2,716.38,-0.24,-50.36,,
100,0,4.2,279.58,341.16,-0.22,-13,,
100,0,3.32,277.74,332.28,-0.88,-8.26,,
100,1,5.14,281.92,374.82,-0.02,-20.22,,
100,0,5.2,286.06,395.38,0.16,38.02,,
100,0,4.22,295.18,352.92,0,0,,
100,0,5,308,392.48,0.2,25.18,,
100,1,3.94,265.08,324.14,0.04,-11.48,,
100,1,4.84,313.64,387.96,-0.4,1.46,,
100,0,4.7,289.88,360.32,-0.16,-12.1,,
100,1,4.98,288.96,385.18,0.26,35.86,,
100,1,5.02,325.62,387.3,-0.08,7.84,,
100,0,4,235.44,331.82,-0.94,-29.38,,
100,0,0,0,0,0,0,,
100,1,4.38,308,352.54,0.26,12.36,,
100,0,5.12,304.08,383.08,-0.04,-15,,
100,1,5.06,317.06,373.34,0.54,32.52,,
100,0,4.58,292.06,369.62,0.28,22.5,,
100,1,1.92,533.44,731.48,-0.6,-20.86,,
100,1,5.08,358.42,426.74,0.76,75.86,,
100,0,4.54,266.56,368.86,-0.1,0.74,,
100,0,4.52,319.02,373.54,0.04,44.44,,
100,1,4.32,299.4,365.8,0,0,,
100,1,5.36,353.62,386.62,1.04,65.94,,
100,0,4.12,336.04,327.7,-0.14,24.26,,
100,0,4.36,242.66,340.08,-0.96,-71,,
100,0,4.24,266.16,358.74,0,0,,
100,1,2.02,502.02,688.66,-0.16,-43.9,,
100,0,4.02,231.16,318.76,0.2,-12.92,,
100,1,4.4,262.46,346.64,-0.12,-0.9,,
100,1,5.1,257.68,369.18,0.14,-4.6,,
100,1,4.62,283.72,349.68,0,0,,
100,0,4.8,775.68,567.78,-0.22,-35.88,,
100,0,4.16,731.48,532.76,-1.68,-72.14,,
100,0,4.34,241.12,334.9,-0.32,-19.38,,
100,0,4.18,253.3,339.86,-0.94,-34.4,,
100,0,5.1,262.86,360.34,-0.42,-34.08,,
100,1,4.12,274.4,322.28,0.22,-28.16,,
100,0,3.72,261.04,304.32,-0.92,-36.82,,
100,0,4.78,247.82,351.34,0,0,,
100,0,5.06,259.22,361.12,0.32,-16.04,,
100,1,5.04,324,368.68,2.02,68.42,,
100,1,4.52,279.58,367.58,0.1,-4.94,,
100,1,5.08,269.7,348.14,0.34,-22.2,,
100,0,4.92,264.66,356.42,-0.32,9.38,,
100,0,4.82,323.16,351,0.26,6.58,,
100,0,3.76,240.98,292.04,-0.76,-68.84,,
100,0,5.08,296.44,349.1,-0.24,-3.96,,
100,1,5.12,318.26,396.68,0.84,52.46,,
100,1,3.84,344.64,357.7,-0.02,24.18,,
100,0,4.34,251.72,347.32,-0.14,-23.42,,
100,1,4.28,298.28,355.6,-0.46,-1,,
100,1,4.76,294.5,360.58,0.2,-1.72,,
100,0,4.74,273.96,361.3,0.44,3.92,,
100,1,4.88,768.22,562.98,-0.6,28.78,,
100,0,4.02,251.66,317.8,-0.38,-34.74,,
100,1,4.3,329.56,380.52,-0.08,9.9,,
100,0,4.4,235.42,324.06,-0.44,-43.92,,
100,0,5.1,281.78,380.48,-0.08,-1.18,,
100,0,2.18,571.1,768.86,-0.22,-4.56,,
100,0,4,292.8,339.94,-0.8,-39.06,,
100,1,4.84,277.38,374.92,-0.3,-31.36,,
100,1,4.68,341.86,376.66,0.2,57.24,,
100,0,5.1,294.66,373.88,0.26,21.3,,
100,1,5.16,316.7,383.8,0.84,57.3,,
100,1,4.1,270.38,323.32,-0.46,-14.12,,
100,1,5.1,304.12,383.12,1.08,2.5,,
100,0,4.14,287.86,362.14,-0.76,-13.92,,
100,0,5.26,259.44,363.02,0.32,-18.08,,
100,0,4.12,259.72,319.88,-0.28,-23.86,,
100,1,4.5,304.66,385.18,0.44,64.92,,
100,1,4.62,272.24,357.66,-0.2,-4.38,,
100,1,5.2,289.9,363.38,0.16,11.48,,
100,0,4.52,273.18,373.92,-0.12,2.98,,
100,1,4.78,313.86,372.36,0.32,-8.3,,
100,1,5.04,255.94,362.78,-0.14,-5.06,,
100,1,4.54,286.78,339,-0.08,-17.5,,
100,1,4.84,329.8,386.02,0.34,36.66,,
100,1,4.96,304.32,356.3,0,0,,
100,1,4.34,327.34,348.14,6.7E-16,8.5,,
100,1,4.48,274.38,342.56,0.08,-19.6,,
100,1,4.86,279.78,386.84,-0.14,37.12,,
100,0,4.62,294.68,366.2,-1.04,-37.56,,
100,1,4.4,301.88,366.22,-0.1,4.62,,
100,1,4.62,338.54,390.68,-0.1,37.64,,
100,1,3.88,272.02,365.86,-0.72,9.16,,
100,0,4.18,289.66,337.76,-0.46,-7.84,,
100,0,4.64,298.74,341.46,-0.04,-2.28,,
100,1,4.7,264.74,374.08,1.14,66.28,,
100,1,4.12,277.84,347.44,-0.08,3.4,,
100,1,5.4,324.22,385.54,0.62,16.64,,
100,0,5.12,302.26,383.38,0.54,-4.72,,
100,1,4.96,320.2,387.44,0.4,24.76,,
100,1,5.04,269.34,366.46,0.38,-9.68,,
100,0,4.78,344.54,397.68,0.28,44.92,,
100,0,4.56,270.24,348.7,0.08,-19.86,,
100,1,3.96,338.44,346.94,-0.46,-5.42,,
100,0,4.56,300.58,381.1,-0.12,29.44,,
100,0,4.12,251.12,306.66,-0.6,-74.76,,
100,1,4.48,391.2,413.02,0.34,75.6,,
100,1,4.8,329.8,372.54,0.16,3.76,,
100,1,3.88,265.98,351.72,-0.08,-1.62,,
100,0,4.88,290.38,369.96,-0.22,-23.5,,
100,0,4.82,298.7,356.1,0.56,-17.16,,
100,1,4.6,338.58,375.48,0.56,74.8,,
100,0,4.78,326.06,368.52,-0.18,-11.24,,
100,1,5.28,319.38,395.8,0.66,22.52,,
100,0,4.86,287.04,383.2,0.06,6.44,,
100,0,4.86,312.34,391.46,-0.16,-7.44,,
100,1,4.92,264.16,363.68,-0.38,9.64,,
100,1,4.54,313.1,388.04,0.04,27.38,,
100,1,4.74,305.74,366.46,0.4,8.62,,
100,0,4.5,301.2,336.4,-0.04,-22.6,,
100,1,4.86,248.46,363.8,0.16,-21.66,,
100,1,4.28,292.12,346.04,0.04,-1.34,,
100,0,4.46,321.58,387.36,-0.54,-10.88,,
100,1,4.58,292.46,361.1,0.12,-6.56,,
100,0,4.18,244.86,294.3,-0.4,-102.08,,
100,0,4.04,255.24,320.2,-0.84,-108.1,,
100,1,4.08,279.12,365.38,-0.5,-5.3,,
100,0,4.18,320.8,364.64,-0.06,25.56,,
100,1,4.28,300.6,343.08,0.22,-4.08,,
100,1,4.72,281.2,366.74,0.24,-10.08,,
100,1,5.2,270.44,343.3,0.66,-6.12,,
100,0,4.88,290.8,365.38,0.26,5.28,,
100,1,5.08,315.64,377.04,0.9,26.92,,
100,0,3.94,330.28,357.84,-0.56,-30.3,,
100,0,4.7,245.46,336.14,-0.16,-48.22,,
100,0,4.1,301.64,335.82,-0.36,-12.62,,
100,0,4.76,285.5,376.54,-0.82,3.48,,
100,0,4.28,285.4,326.18,-0.18,-55.7,,
100,0,4.9,277.86,343.16,0.26,-0.38,,
100,0,3.86,290.06,342.52,-0.34,-3.94,,
100,0,4.16,317.06,360.12,-0.68,-13.6,,
100,1,4.52,297.14,371.8,-0.68,-27.78,,
100,0,4.42,294.78,371.6,-0.42,11.84,,
100,1,4.5,346.96,388.88,0.66,69.4,,
100,0,4.38,293.52,366.86,-0.08,6.74,,
100,0,3.88,263.3,339.06,-0.72,-58.48,,
100,1,4.3,274.1,367.22,0.26,22.08,,
100,1,4.02,345.88,383.04,-0.34,69.88,,
100,0,4.56,267.86,360.26,-0.18,-3.22,,
100,1,4.16,271.16,332.5,-0.66,-8.6,,
100,1,4.7,287.84,380.9,-0.12,43.88,,
100,1,4.58,340.94,400.86,0.78,58.92,,
100,1,4.84,300.3,361.28,-0.12,7.12,,
100,1,4.76,269.02,357.3,2.2E-16,4.86,,
100,1,4.78,293.7,391.6,-0.44,37.7,,
100,1,4.1,262.96,367.18,-0.74,25.92,,
100,1,4.8,263.02,341.42,0.38,-8.22,,
100,0,4.12,298.04,311.72,-0.18,-27.36,,
100,0,4.74,268.62,365.86,0.1,-2.28,,
100,0,0,0,0,0,0,,
100,1,5,270.48,368.56,0.1,-5.82,,
100,0,3.98,277.02,340.6,-0.3,-25.8,,
100,1,4.86,290.68,378.58,-0.1,17.4,,
100,1,4.4,337.6,385.32,0.46,73.18,,
100,1,4.44,325.9,360,0.16,3.9,,
100,0,4.02,309.54,320.86,0,0,,
100,1,4.52,267.44,332.86,-0.6,-25.68,,
100,0,2.1,471.68,684.02,-0.26,-42.8,,
100,0,4.48,243.22,354.28,-1.78,-39.32,,
100,0,4.58,278.18,349.04,0.24,-26.3,,
100,0,4.3,236.92,314.08,-0.76,-78.58,,
100,0,3.64,237.48,288.58,0,-24.56,,
100,0,4.88,268.92,378.44,0.7,30.96,,
100,0,4.8,274.68,363.86,0.4,14.6,,
100,1,5.02,308.12,381.9,-0.1,2.4,,
100,0,3.66,250.02,314.4,-1.12,-81.04,,
100,1,4.68,346.2,380.46,0.82,44.34,,
100,1,4.12,310.76,344.34,0.48,33.32,,
100,1,4.44,314.26,361.48,0.74,32.42,,
100,1,4.98,343.76,397.18,0.72,45.82,,
100,1,4.32,367.34,352.68,0.18,0.28,,
100,0,5.04,257.56,332.82,0.96,-32.94,,
100,1,0,0,0,0,0,,
100,1,4.04,316.1,392.56,-0.64,23.08,,
100,1,4.18,286.7,351.46,-0.36,-11.94,,
100,0,4.36,282.68,337.6,-1.78,-52.6,,
100,1,5.1,289.62,378.76,-0.28,0.48,,
100,0,5.6,296.88,369.52,0.66,-4.96,,
